0	1
8820	1
8836	0
13120	0
13136	1
13716	1
13732	0
14216	0
14232	1
14812	1
14828	0
15312	0
15328	1
15904	1
15924	0
16408	0
16424	1
17000	1
17016	0
17500	0
17520	1
18096	1
18112	0
18596	0
18612	1
19192	1
19208	0
19692	0
19708	1
20288	1
20304	0
20792	0
20812	1
21400	1
21416	0
21888	0
21904	1
22492	1
22508	0
24068	0
24084	1
24672	1
24688	0
26260	0
26276	1
26864	1
26884	0
28440	0
28456	1
29052	1
29068	0
30632	0
30652	1
31228	1
31244	0
32812	0
32828	1
33424	1
33440	0
35008	0
35024	1
35600	1
35616	0
37192	0
37208	1
37796	1
37812	0
39368	0
39384	1
39972	1
39988	0
40464	0
40480	1
41068	1
41084	0
42660	0
42676	1
43264	1
43280	0
43752	0
43772	1
44348	1
44364	0
44848	0
44864	1
45444	1
45460	0
47028	0
47044	1
47636	1
47656	0
48120	0
48140	1
48732	1
48748	0
50316	0
50332	1
50912	1
50928	0
51412	0
51428	1
52004	1
52024	0
53596	0
53612	1
54200	1
54216	0
54692	0
54708	1
55296	1
55312	0
56884	0
56904	1
57472	1
57492	0
59064	0
59080	1
59668	1
59684	0
60160	0
60176	1
60768	1
60788	0
62352	0
62368	1
62948	1
62964	0
63448	0
63464	1
64044	1
64060	0
65628	0
65644	1
66236	1
66252	0
104200	0
104216	1
113036	1
113056	0
115156	0
115172	1
115764	1
115780	0
